Galaxy,r_kpc,Vobs_kms,e_Vobs_kms,Vgas_kms,Vdisk_kms,Vbul_kms,SBdisk,SBbul,source_file,line_no,n_columns,D_Mpc,Inc_deg,L36_Lsun,MHI_Msun,Mbar_Msun,gas_fraction,Rdisk_kpc,SBdisk_Lsun_pc2,Vflat_kms,Q,Vbar2_kms2,Vbar_kms,Vobs2_kms2,C_kms2,g_obs_m_s2,g_bar_m_s2,D_DM,log_g_obs,log_g_bar,log_D_DM,valid_acceleration,g_rar_pred_m_s2,log_g_rar_pred,rar_residual_dex,baryon_only_residual_dex
D631-7,0.9,17.8,2.22,13.51,15.52,0.0,19.64,0.0,D631-7_rotmod.dat,5,8,7.72,59.0,196000000.0,290000000.0,483700000.0,0.7973950795947902,0.7,115.04,57.7,1,302.95529999999997,17.405611164219426,316.84000000000003,13.884700000000066,1.140898344519503e-11,1.0909014020748938e-11,1.0458308535945733,-10.942753050043676,-10.962214500071463,0.01946145002778737,True,4.38866722427229e-11,-10.357667348783966,-0.5850857012597093,0.019461450027787208
D631-7,1.35,26.0,2.35,16.7,20.76,0.0,12.17,0.0,D631-7_rotmod.dat,6,8,7.72,59.0,196000000.0,290000000.0,483700000.0,0.7973950795947902,0.7,115.04,57.7,1,494.3788,22.234630646808597,676.0,181.6212,1.6227902219736228e-11,1.1867945008743394e-11,1.3673725491465245,-10.789737617775508,-10.925624474695491,0.13588685691998273,True,4.604346090022846e-11,-10.33683203966038,-0.45290557811512855,0.13588685691998315
D631-7,1.8,30.9,2.22,18.72,21.37,0.0,4.5,0.0,D631-7_rotmod.dat,7,8,7.72,59.0,196000000.0,290000000.0,483700000.0,0.7973950795947902,0.7,115.04,57.7,1,578.77685,24.057781485415482,954.81,376.03315,1.7190713740857636e-11,1.0420489048276934e-11,1.6497031627992722,-10.764706091475775,-10.982111898504433,0.21740580702865833,True,4.276068299548951e-11,-10.368955366634369,-0.39575072484140605,0.21740580702865842
D631-7,2.25,34.7,1.82,19.9,19.92,0.0,2.1,0.0,D631-7_rotmod.dat,8,8,7.72,59.0,196000000.0,290000000.0,483700000.0,0.7973950795947902,0.7,115.04,57.7,1,594.4132,24.38059064091762,1204.0900000000001,609.6768000000002,1.7343066376120292e-11,8.561608835254894e-12,2.0256784337898286,-10.760874113751754,-11.067444618194191,0.3065705044424379,True,3.827847339598611e-11,-10.417045390877423,-0.3438287228743313,0.30657050444243694
D631-7,2.69,38.8,1.81,20.61,18.76,0.0,1.13,0.0,D631-7_rotmod.dat,9,8,7.72,59.0,196000000.0,290000000.0,483700000.0,0.7973950795947902,0.7,115.04,57.7,1,600.7409,24.510016319864008,1505.4399999999998,904.6990999999998,1.8136798414502326e-11,7.237429989004344e-12,2.5059722086510177,-10.741439374036132,-11.140415624374857,0.39897625033872425,True,3.4851255894645103e-11,-10.457781567112985,-0.2836578069231468,0.3989762503387251
D631-7,3.14,42.5,1.57,20.73,17.36,0.0,0.54,0.0,D631-7_rotmod.dat,10,8,7.72,59.0,196000000.0,290000000.0,483700000.0,0.7973950795947902,0.7,115.04,57.7,1,580.4177,24.091859621042126,1806.25,1225.8323,1.864222162916842e-11,5.990463889767303e-12,3.111982973641223,-10.72950233319473,-11.222539545396092,0.4930372122013621,True,3.138811137800245e-11,-10.503234815003612,-0.22626751819111846,0.49303721220136154
D631-7,3.59,45.6,1.59,20.61,16.32,0.0,0.37,0.0,D631-7_rotmod.dat,11,8,7.72,59.0,196000000.0,290000000.0,483700000.0,0.7973950795947902,0.7,115.04,57.7,1,557.9432999999999,23.62082344034602,2079.36,1521.4167000000002,1.8770882516153302e-11,5.036688276669204e-12,3.726830306950545,-10.726515308471587,-11.297854927028277,0.571339618556689,True,2.853758162363802e-11,-10.544582833324052,-0.1819324751475353,0.5713396185566904
D631-7,4.04,48.8,1.83,20.38,15.37,0.0,0.18,0.0,D631-7_rotmod.dat,12,8,7.72,59.0,196000000.0,290000000.0,483700000.0,0.7973950795947902,0.7,115.04,57.7,1,533.4628499999999,23.09681471545373,2381.4399999999996,1847.9771499999997,1.9103270868946507e-11,4.279295435564272e-12,4.464115917350196,-10.718892266327321,-11.36862772949966,0.6497354631723395,True,2.6111620905370075e-11,-10.583166168069502,-0.13572609825781967,0.6497354631723393
D631-7,4.49,51.8,1.91,19.9,14.49,0.0,0.1,0.0,D631-7_rotmod.dat,13,8,7.72,59.0,196000000.0,290000000.0,483700000.0,0.7973950795947902,0.7,115.04,57.7,1,500.99004999999994,22.382807017887636,2683.24,2182.24995,1.936701251805946e-11,3.6160315774113522e-12,5.355874832244671,-10.712937366734996,-11.441767785653637,0.7288304189186412,True,2.383498092301699e-11,-10.622785191336343,-0.09015217539865361,0.7288304189186405
D631-7,4.94,54.8,2.19,19.43,13.72,0.0,0.05,0.0,D631-7_rotmod.dat,14,8,7.72,59.0,196000000.0,290000000.0,483700000.0,0.7973950795947902,0.7,115.04,57.7,1,471.6441,21.717368625135045,3003.0399999999995,2531.3958999999995,1.9700789144479767e-11,3.094118281920297e-12,6.367173892348065,-10.705516377177046,-11.50946308811454,0.8039467109374934,True,2.1915885984570513e-11,-10.659240967609508,-0.04627540956753862,0.8039467109374936
