Galaxy,r_kpc,Vobs_kms,e_Vobs_kms,Vgas_kms,Vdisk_kms,Vbul_kms,SBdisk,SBbul,source_file,line_no,n_columns,D_Mpc,Inc_deg,L36_Lsun,MHI_Msun,Mbar_Msun,gas_fraction,Rdisk_kpc,SBdisk_Lsun_pc2,Vflat_kms,Q,Vbar2_kms2,Vbar_kms,Vobs2_kms2,C_kms2,g_obs_m_s2,g_bar_m_s2,D_DM,log_g_obs,log_g_bar,log_D_DM,valid_acceleration,g_rar_pred_m_s2,log_g_rar_pred,rar_residual_dex,baryon_only_residual_dex,F_disk_kernel_lam_0p25,log_F_disk_kernel_lam_0p25,F_disk_kernel_lam_0p5,log_F_disk_kernel_lam_0p5,F_disk_kernel_lam_0p75,log_F_disk_kernel_lam_0p75,F_disk_kernel_lam_1p0,log_F_disk_kernel_lam_1p0,F_disk_kernel_lam_1p5,log_F_disk_kernel_lam_1p5
UGC09133,27.66,262.0,3.15,49.22,187.22,112.03,9.81,0.0,UGC09133_rotmod.dat,45,8,57.1,53.0,282926000000.0,33427999999.999996,185922240000.0,0.23912814303442126,6.97,864.63,226.8,1,28733.77723,169.51040448892806,68644.0,39910.22277,8.042662817954411e-11,3.366588219612874e-11,2.3889654134413982,-10.09460013835594,-10.472810000596281,0.37820986224034225,True,8.529425070145927e-11,-10.069080241666956,-0.02551989668898358,0.37820986224034137,16.542490851423654,1.2186009031356528,44.39601775341836,1.6473440163921242,72.67810064104813,1.8614035689952355,96.23207035361399,1.9833198293821641,130.89867389074217,2.1169352468192786
UGC09133,30.5,257.0,4.71,51.48,179.93,106.69,6.71,0.0,UGC09133_rotmod.dat,46,8,57.1,53.0,282926000000.0,33427999999.999996,185922240000.0,0.23912814303442126,6.97,864.63,226.8,1,26805.52212,163.72392042704084,66049.0,39243.47788,7.018040370115111e-11,2.8482223255488134e-11,2.4640072185245687,-10.153784137906335,-10.54542611370424,0.39164197579790555,True,7.701367436105117e-11,-10.113432155706917,-0.040351982199418046,0.3916419757979046,11.575562314371787,1.063542097236175,35.78337037884235,1.5536812436656042,63.18851021295108,1.8006381161818124,86.99436354849159,1.9394911151578578,122.88168406142924,2.0894871546208207
UGC09133,33.23,252.0,4.96,51.89,173.14,102.21,4.38,0.0,UGC09133_rotmod.dat,47,8,57.1,53.0,282926000000.0,33427999999.999996,185922240000.0,0.23912814303442126,6.97,864.63,226.8,1,24994.120769999998,158.09529015755024,63504.0,38509.879230000006,6.1932725849195e-11,2.437569333412196e-11,2.5407575079105293,-10.20807980493776,-10.6130430225258,0.4049632175880383,True,7.01138968192887e-11,-10.154195894818168,-0.053883910119592926,0.40496321758803866,8.335877667112337,0.9209513325283969,29.436120527111996,1.468880572489929,55.735311827094556,1.7461304352554399,79.52115061203695,1.9004826553535836,116.23508851546954,2.0653372506731875
UGC09133,35.96,247.0,2.58,50.25,166.11,98.25,2.89,0.0,UGC09133_rotmod.dat,48,8,57.1,53.0,282926000000.0,33427999999.999996,185922240000.0,0.23912814303442126,6.97,864.63,226.8,1,23078.4723,151.91600409436788,61009.0,37930.5277,5.49823981283958e-11,2.0798730551127768e-11,2.6435458641688347,-10.259776321763997,-10.681963171357655,0.4221868495936563,True,6.378980069800114e-11,-10.195248754737666,-0.06452756702633167,0.4221868495936576,6.098713262124066,0.785238214993272,24.515043409956064,1.389432666608821,49.589405878908686,1.6953889051239956,73.17737970166688,1.8643768544334407,110.45529345562927,2.043186533819789
UGC09133,38.8,242.0,2.52,48.3,159.33,94.59,1.9,0.0,UGC09133_rotmod.dat,49,8,57.1,53.0,282926000000.0,33427999999.999996,185922240000.0,0.23912814303442126,6.97,864.63,226.8,1,21289.002120000005,145.90751221236007,58564.0,37274.997879999995,4.891572121314944e-11,1.7781689990575568e-11,2.7509039488977227,-10.310551538855483,-10.750026965598511,0.4394754267430291,True,5.8165963466992835e-11,-10.235331073812729,-0.07522046504275437,0.4394754267430283,4.473704820177538,0.6506673254921281,20.517072310879573,1.3121153890936554,44.2887947858571,1.6462938621548537,67.54858576816456,1.8296162608412212,105.20434198308597,2.022033664346057
UGC09133,41.54,238.0,2.3,47.17,153.43,91.42,1.28,0.0,UGC09133_rotmod.dat,50,8,57.1,53.0,282926000000.0,33427999999.999996,185922240000.0,0.23912814303442126,6.97,864.63,226.8,1,19845.722830000002,140.87484810994474,56644.0,36798.27717,4.4191310079751234e-11,1.5482813560788928e-11,2.85421702626893,-10.354663123308194,-10.810150115817573,0.4554869925093784,True,5.365615024604001e-11,-10.270380490569769,-0.08428263273842518,0.4554869925093783,3.366127121471577,0.5271305130394363,17.47529345853756,1.242424477485154,40.018906978582486,1.6022652227396548,62.8892121468206,1.7985761540792937,100.75821885823265,2.0032804817034267
UGC09133,44.27,235.0,0.63,47.68,147.95,88.55,0.87,0.0,UGC09133_rotmod.dat,51,8,57.1,53.0,282926000000.0,33427999999.999996,185922240000.0,0.23912814303442126,6.97,864.63,226.8,1,18706.7554,136.77264127010196,55225.0,36518.244600000005,4.0427385647066873e-11,1.3694254681052973e-11,2.952142090872692,-10.393324342657515,-10.863461599533734,0.47013725687621954,True,4.99809474007423e-11,-10.301195515976376,-0.09212882668113842,0.4701372568762192,2.5712695768111367,0.41014761129244837,15.053520829121295,1.1776380878254944,36.43426763379593,1.5615100441833634,58.8771373656784,1.7699466862392215,96.8481601144843,1.9860913745676045
UGC09133,47.11,236.0,1.4,49.73,142.73,85.84,0.58,0.0,UGC09133_rotmod.dat,52,8,57.1,53.0,282926000000.0,33427999999.999996,185922240000.0,0.23912814303442126,6.97,864.63,226.8,1,17816.953269999998,133.48016058575897,55696.0,37879.04673,3.831425245274748e-11,1.2256593750459366e-11,3.126011454145773,-10.416639643520158,-10.911630208522325,0.494990565002167,True,4.6899024228746865e-11,-10.328836193030742,-0.08780345048941562,0.4949905650021673,1.9684548365781347,0.2941254549657664,13.023520044703126,1.114728382801745,33.27539448366481,1.5221232127887354,55.255916346651865,1.7423787855090398,93.24827902933362,1.969640825306882
UGC09133,49.84,239.0,2.07,50.56,138.21,83.46,0.39,0.0,UGC09133_rotmod.dat,53,8,57.1,53.0,282926000000.0,33427999999.999996,185922240000.0,0.23912814303442126,6.97,864.63,226.8,1,16983.21577,130.3196676254202,57121.0,40137.784230000005,3.7142165688674075e-11,1.1043108735068402e-11,3.3633795138433915,-10.430132776976976,-10.956908651567465,0.5267758745904892,True,4.4192408471722613e-11,-10.354652328886326,-0.07548044809064969,0.5267758745904896,1.541325243812062,0.1878942913392188,11.436649050206894,1.05829879437086,30.687551542795717,1.4869622389084438,52.222259176441845,1.7178556558178222,90.17644524942995,1.9550931114431052
UGC09133,52.58,242.0,2.63,49.43,133.98,81.25,0.26,0.0,UGC09133_rotmod.dat,54,8,57.1,53.0,282926000000.0,33427999999.999996,185922240000.0,0.23912814303442126,6.97,864.63,226.8,1,16039.738849999998,126.64809058963344,58564.0,42524.261150000006,3.6096043801258995e-11,9.886126563936131e-12,3.6511816400302552,-10.44254039503162,-11.004973833925087,0.562433438893468,True,4.150595492189797e-11,-10.381889589933948,-0.06065080509767107,0.5624334388934678,1.2205895474151376,0.08656964653212232,10.127558752201207,1.0055047713009748,28.458718932713833,1.4542153464518703,49.555515915456645,1.6950920018751758,87.4305630046921,1.9416632750147655
UGC09133,55.42,245.0,1.64,49.12,129.96,79.14,0.18,0.0,UGC09133_rotmod.dat,55,8,57.1,53.0,282926000000.0,33427999999.999996,185922240000.0,0.23912814303442126,6.97,864.63,226.8,1,15241.772920000001,123.45757538523102,60025.0,44783.22708,3.510064540759618e-11,8.912887407713817e-12,3.938190151175667,-10.454684897939286,-11.049981579678564,0.5952966817392773,True,3.915210075395171e-11,-10.407244930378143,-0.04743996756114299,0.5952966817392777,0.9697999828592911,-0.013317827896422805,9.005113598397974,0.9544891957614614,26.468992752720805,1.4227374150354495,47.12923670755797,1.6732904060999705,84.89358979957233,1.9288748984915876
UGC09133,58.15,247.0,1.31,50.56,126.43,77.26,0.12,0.0,UGC09133_rotmod.dat,56,8,57.1,53.0,282926000000.0,33427999999.999996,185922240000.0,0.23912814303442126,6.97,864.63,226.8,1,14726.961370000003,121.35469241030609,61009.0,46282.038629999995,3.4001152823682076e-11,8.207537644770976e-12,4.142674002274509,-10.468506357767275,-11.085787116654814,0.617280758887539,True,3.738371809510698e-11,-10.427317506919573,-0.04118885084770163,0.6172807588875386,0.7859362244495852,-0.10461269377402713,8.106015900977225,0.9088074513301613,24.81463045273824,1.3947078119318257,45.076562755116974,1.6539507921700116,82.71728595877022,1.9175962763244971
UGC09133,60.89,246.0,2.14,53.22,123.2,75.51,0.08,0.0,UGC09133_rotmod.dat,57,8,57.1,53.0,282926000000.0,33427999999.999996,185922240000.0,0.23912814303442126,6.97,864.63,226.8,1,14412.72047,120.05299025846878,60516.0,46103.27953,3.220873698144444e-11,7.670955165663796e-12,4.1987909309671085,-10.492026305069903,-11.115150555562138,0.623124250492236,True,3.599847777345318e-11,-10.443715863359568,-0.04831044171033483,0.6231242504922356,0.6435298924075166,-0.19143127501271548,7.348221897634506,0.8661822624218968,23.372158111725177,1.3686988156331599,43.258658906699196,1.6360730514311281,80.76609633470818,1.9072290926465236
UGC09133,63.62,243.0,4.0,53.84,120.17,73.87,0.05,0.0,UGC09133_rotmod.dat,58,8,57.1,53.0,282926000000.0,33427999999.999996,185922240000.0,0.23912814303442126,6.97,864.63,226.8,1,13938.903880000002,118.06313514387124,59049.0,45110.09612,3.0079342386419416e-11,7.1004261257245695e-12,4.236272845293485,-10.521731662796858,-11.14871558670382,0.626983923906962,True,3.448309946770303e-11,-10.462393705108838,-0.05933795768802064,0.6269839239069626,0.5330477470477882,-0.27323388787653946,6.710717720980056,0.8267689710769035,22.120457657129947,1.3447941079812158,41.65889218422295,1.6197077167716896,79.03039384494451,1.8977941462345547
UGC09133,66.46,239.0,4.67,53.63,117.27,72.27,0.04,0.0,UGC09133_rotmod.dat,59,8,57.1,53.0,282926000000.0,33427999999.999996,185922240000.0,0.23912814303442126,6.97,864.63,226.8,1,13408.37038,115.79451791859579,57121.0,43712.62962,2.7853829941671925e-11,6.5383040976080765e-12,4.260100100247977,-10.555115080268555,-11.184534884177515,0.6294198039089592,True,3.2942011239864e-11,-10.482249888963782,-0.07286519130477309,0.6294198039089594,0.44304502024506204,-0.3535521404799208,6.148727653189616,0.7887852571792481,20.98525583668987,1.3219142681763103,40.189658896593684,1.604114320201595,77.42129745471678,1.8888604451113593
UGC09133,69.19,234.0,5.12,53.12,114.7,70.83,0.02,0.0,UGC09133_rotmod.dat,60,8,57.1,53.0,282926000000.0,33427999999.999996,185922240000.0,0.23912814303442126,6.97,864.63,226.8,1,12911.60163,113.62922876619378,54756.0,41844.39837,2.564707483347531e-11,6.047644335317257e-12,4.240837160958784,-10.590962161005347,-11.218413757809605,0.6274515968042578,True,3.1552900653529065e-11,-10.50096070995658,-0.09000145104876722,0.6274515968042582,0.3746127500440524,-0.4264174453816474,5.689322676170975,0.755060565953819,20.033300457265646,1.301752504575598,38.94390978808101,1.5904395505263473,76.04610370718663,1.8810769674775494
