Galaxy,T,D_Mpc,e_D_Mpc,f_D,Inc_deg,e_Inc_deg,L36_1e9_Lsun,e_L36_1e9_Lsun,Reff_kpc,SBeff_Lsun_pc2,Rdisk_kpc,SBdisk_Lsun_pc2,MHI_1e9_Msun,RHI_kpc,Vflat_kms,e_Vflat_kms,Q,Ref,L36_Lsun,e_L36_Lsun,MHI_Msun,Mstar_Msun,Mgas_Msun,Mbar_Msun,gas_fraction,has_Vflat,valid_BTFR_basic
NGC4068,10,4.37,0.22,2,44.0,6.0,0.236,0.005,1.11,30.26,0.59,261.11,0.154,3.18,0.0,0.0,2,Le14,236000000.0,5000000.0,154000000.0,118000000.0,204820000.0,322820000.0,0.634471222353014,False,False
NGC4085,5,18.0,2.5,4,82.0,2.0,21.724,0.2,2.0,856.7,1.65,5021.46,1.349,10.16,131.5,4.8,2,"VS01,SV98",21724000000.0,200000000.0,1349000000.0,10862000000.0,1794170000.0,12656170000.0,0.1417624763257763,True,True
NGC4088,4,18.0,2.5,4,69.0,2.0,107.286,0.494,6.1,457.96,2.58,3988.69,8.226,22.25,171.7,6.9,1,"VS01,SV98",107286000000.0,494000000.0,8226000000.000001,53643000000.0,10940580000.000002,64583580000.0,0.16940188202636028,True,True
NGC4100,4,18.0,2.5,4,73.0,2.0,59.394,0.328,4.93,388.0,2.15,8970.78,3.102,18.06,158.2,5.0,1,"VS01,SV98",59394000000.0,328000000.0,3102000000.0,29697000000.0,4125660000.0,33822660000.0,0.12197917017762648,True,True
NGC4138,0,18.0,2.5,4,53.0,3.0,44.111,0.284,1.91,1909.11,1.51,3952.12,1.483,18.58,147.3,5.9,2,"VS01,SV98",44111000000.0,284000000.0,1483000000.0,22055500000.0,1972390000.0,24027890000.0,0.08208752412300872,True,True
NGC4157,3,18.0,2.5,4,82.0,3.0,105.62,0.486,4.44,848.85,2.32,23813.87,8.226,24.09,184.7,7.2,1,"VS01,SV98",105620000000.0,486000000.0,8226000000.000001,52810000000.0,10940580000.000002,63750580000.0,0.17161537981301506,True,True
NGC4183,6,18.0,2.5,4,82.0,2.0,10.838,0.15,4.47,86.46,2.79,1098.58,3.506,16.07,110.6,5.4,1,"VS01,SV98",10838000000.0,150000000.0,3506000000.0,5419000000.0,4662980000.0,10081980000.0,0.46250637275614515,True,True
NGC4214,10,2.87,0.14,2,15.0,10.0,1.141,0.008,0.7,363.77,0.51,1308.67,0.486,5.84,80.1,5.8,2,Le14,1141000000.0,8000000.0,486000000.0,570500000.0,646380000.0,1216880000.0,0.5311780947998159,True,True
NGC4217,3,18.0,2.5,4,86.0,2.0,85.299,0.393,5.28,483.98,2.94,4373.51,2.562,16.7,181.3,7.2,1,"VS01,SV98",85299000000.0,393000000.0,2562000000.0,42649500000.0,3407460000.0,46056960000.0,0.0739836063865266,True,True
NGC4389,4,18.0,2.5,4,50.0,4.0,21.328,0.216,4.05,207.41,2.79,322.72,0.539,6.81,0.0,0.0,3,"VS01,SV98",21328000000.0,216000000.0,539000000.0,10664000000.0,716870000.0,11380870000.0,0.06298903335158033,False,False
