selection_mode,sample,kernel_variant,outer_fold,n_train_rows,n_test_rows,n_train_galaxies,n_test_galaxies,selected_lambda,selected_kernel_feature,selected_global_model,selected_global_features,selected_ridge_alpha,kernel_stage_inner_rmse,global_stage_inner_rmse,coef_kernel_standardized,coef_radius_standardized,coef_local_disk_standardized,intercept_standardized,elapsed_seconds
frozen_reference,Q12,signed_self_uniform,4,2244,561,130,33,0.5,log_F__signed_self_uniform__lam_0p5,plus_global_full,"log_Mbar_Msun,log_Rdisk_kpc,gas_fraction,log_SBdisk_Lsun_pc2",11.513953993264458,,0.3218711448109344,0.3255622914900091,-0.11210702746710699,0.03079461925528873,-10.427556068872804,0.034847259521484375
frozen_reference,Q123,current_abs_self_uniform,0,2316,580,141,34,0.25,log_F__current_abs_self_uniform__lam_0p25,plus_Mbar_Rdisk,"log_Mbar_Msun,log_Rdisk_kpc",51.79474679231202,,0.33999330230801855,0.27646105063120746,-0.06774373291656798,0.06612218386387625,-10.440704975237752,0.0285341739654541
frozen_reference,Q123,current_abs_self_uniform,1,2316,580,140,35,0.75,log_F__current_abs_self_uniform__lam_0p75,plus_Mbar_Rdisk,"log_Mbar_Msun,log_Rdisk_kpc",51.79474679231202,,0.35256359683779354,0.25114795496502823,-0.05228926919621823,0.08214104672773323,-10.449261023466276,0.0476682186126709
frozen_reference,Q123,current_abs_self_uniform,2,2317,579,140,35,0.25,log_F__current_abs_self_uniform__lam_0p25,plus_global_full,"log_Mbar_Msun,log_Rdisk_kpc,gas_fraction,log_SBdisk_Lsun_pc2",24.420530945486497,,0.3697092243963816,0.30987048244716536,-0.1403028754218004,-0.006622266468027262,-10.440321207497265,0.07975244522094727
frozen_reference,Q123,current_abs_self_uniform,3,2317,579,140,35,0.75,log_F__current_abs_self_uniform__lam_0p75,plus_Mbar_Rdisk,"log_Mbar_Msun,log_Rdisk_kpc",24.420530945486497,,0.35501576291350206,0.23590940931553978,-0.06310609601119775,0.06940128222104747,-10.428513486608205,0.07256102561950684
frozen_reference,Q123,current_abs_self_uniform,4,2318,578,139,36,0.5,log_F__current_abs_self_uniform__lam_0p5,plus_global_full,"log_Mbar_Msun,log_Rdisk_kpc,gas_fraction,log_SBdisk_Lsun_pc2",5.428675439323859,,0.3475246915541345,0.37890431461637986,-0.1552741026906238,-0.011244517857963768,-10.444998488540246,0.13097262382507324
frozen_reference,Q123,abs_leave_one_out,0,2316,580,141,34,0.25,log_F__abs_leave_one_out__lam_0p25,plus_Mbar_Rdisk,"log_Mbar_Msun,log_Rdisk_kpc",51.79474679231202,,0.34235423376349716,0.27148264309088727,-0.03851120216474068,0.08145313624937109,-10.440704975237752,0.10005688667297363
frozen_reference,Q123,abs_leave_one_out,1,2316,580,140,35,0.75,log_F__abs_leave_one_out__lam_0p75,plus_Mbar_Rdisk,"log_Mbar_Msun,log_Rdisk_kpc",51.79474679231202,,0.35380242638167364,0.23801117595068275,-0.03572006021936708,0.0936503313058579,-10.449261023466276,0.0369572639465332
frozen_reference,Q123,abs_leave_one_out,2,2317,579,140,35,0.25,log_F__abs_leave_one_out__lam_0p25,plus_global_full,"log_Mbar_Msun,log_Rdisk_kpc,gas_fraction,log_SBdisk_Lsun_pc2",24.420530945486497,,0.37224318687918784,0.30777487804977927,-0.10452465260667324,0.014700982105992489,-10.440321207497265,0.11119341850280762
frozen_reference,Q123,abs_leave_one_out,3,2317,579,140,35,0.75,log_F__abs_leave_one_out__lam_0p75,plus_Mbar_Rdisk,"log_Mbar_Msun,log_Rdisk_kpc",35.564803062231285,,0.3558525393945509,0.2241008330106499,-0.04605206679209726,0.08148710682219741,-10.428513486608205,0.07896614074707031
